country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage,highest-tier,internet_penetration,yearly_growth_rate,disaster_recovery_sites
Iceland,3,0,3,64583,200,1.00,4,1.00,0.12,1
Liechtenstein,5,0,5,4300,2,0.97,3,0.97,0.05,1
Trinidad and Tobago,5,0,5,60000,15,0.85,3,0.85,0.02,0
United Arab Emirates,31,1,31,450000,200,0.60,4,0.99,0.18,1
Uruguay,9,0,9,30000,35,0.98,3,0.91,0.79,1
Hungary,19,0,19,150000,80,0.25,4,0.89,0.05,1
Ireland,80,0,37,150000,710,0.69,4,0.89,0.04,1
Israel,31,0,31,500000,250,0.12,4,0.89,0.13,1
Italy,168,12,52,3940000,513,0.41,4,0.61,0.30,1
"Korea, South",35,6,35,2898200,710,0.20,4,0.93,0.09,1
Kuwait,35,6,35,2898200,710,0.20,4,0.93,0.09,1
Latvia,25,0,9,270000,120,0.42,4,0.89,0.07,1
Lithuania,20,0,12,300000,150,0.76,4,0.89,0.12,1
Luxembourg,16,0,15,300000,150,1.00,4,1.00,0.15,1
Malaysia,34,0,34,2800000,566,1.00,4,0.81,0.13,1
Namibia,2,0,2,12000,2,0.64,3,0.64,0.05,1
Nicaragua,3,0,3,15000,3,0.71,3,0.71,0.06,1
Norway,26,0,26,3000000,501,0.98,4,0.96,0.10,1
Oman,6,0,6,94000,18,0.95,3,0.95,0.10,1
Panama,8,0,8,30000,10,0.78,3,0.78,0.12,1
Paraguay,8,0,8,35000,2,0.83,3,0.83,0.13,1
Morocco,4,0,4,43000,25,0.90,3,0.90,0.11,0
Rwanda,4,0,4,8000,2,0.38,3,0.38,0.02,0
Singapore,99,15,60,30000000,500,0.95,4,0.92,0.06,1
Finland,25,4,15,120000,90,0.60,4,0.94,0.12,0
Laos,3,0,2,20000,5,0.79,3,0.79,0.10,1
Sweden,95,6,40,12000000,250,0.98,4,0.96,0.08,1
Switzerland,121,5,30,7000000,110,0.80,4,0.97,0.07,1
